index,ax_g,ax_g_lowpass,ax_g_ai,ax_g_ai_kalman,ay_g,ay_g_lowpass,ay_g_ai,ay_g_ai_kalman,az_g,az_g_lowpass,az_g_ai,az_g_ai_kalman,gx_dps,gx_dps_lowpass,gx_dps_ai,gx_dps_ai_kalman,gy_dps,gy_dps_lowpass,gy_dps_ai,gy_dps_ai_kalman,gz_dps,gz_dps_lowpass,gz_dps_ai,gz_dps_ai_kalman
413,0.035649,0.03562847619047619,0.03667110971496882,0.03677712710459756,-0.017699,-0.013179666666666666,-0.012658852447901516,-0.01266590624188893,1.010616,1.0073230476190476,1.0063078390039282,1.0061519642238583,0.594412,0.5965600952380952,0.6151678222822156,0.6171824844647802,0.731242,0.7590339523809524,0.741085575103019,0.7410230774593778,-0.256847,-0.2608794761904762,-0.26260568026994224,-0.2623018410385389
414,0.026922,0.03525204761904761,0.03654533675796981,0.0367465830548006,-0.014605,-0.013350333333333332,-0.01273637927039434,-0.012675192787784083,1.003435,1.0076337142857141,1.006392275375585,1.0061836310982208,0.594241,0.5935949047619046,0.6143147225605352,0.616804586663239,0.822625,0.7625954285714286,0.7421017322714873,0.7411652166242487,-0.256748,-0.26011966666666664,-0.2618572334254407,-0.2622432531065039
415,0.03121,0.034835,0.036379464382128614,0.03669820618672725,-0.01049,-0.01324752380952381,-0.012693028581564863,-0.01267754309003495,1.010948,1.007199238095238,1.0063164654948857,1.006201135280278,0.624775,0.592181761904762,0.6129921148858368,0.6163022002200041,0.837892,0.7648289523809524,0.742717412094198,0.7413697563577558,-0.287283,-0.2572350476190476,-0.26091316109506074,-0.2620679809382574
416,0.033296,0.03466971428571428,0.03632122858497944,0.03664853016351212,-0.014773,-0.013337238095238095,-0.012740250928283679,-0.012685806382108993,1.014038,1.0072566190476189,1.006351429218678,1.0062209401841726,0.670919,0.5899354285714286,0.6115253456378031,0.6156727327449592,0.792531,0.7632910000000002,0.7423747726720142,0.74150219184869,-0.241678,-0.258651619047619,-0.2609844141185565,-0.26192519449619545
417,0.039732,0.03458133333333333,0.036306880258221486,0.03660350942873112,-0.011105,-0.01317204761904762,-0.012680603473810045,-0.01268512077163175,1.005588,1.0072701428571427,1.0063574628570242,1.006238930386865,0.532829,0.5899272380952381,0.6113680139510531,0.6151054807126123,0.715315,0.7610994761904764,0.7420277302946887,0.741571444398239,-0.210751,-0.2542849047619048,-0.2588342746724934,-0.26151789017836213
418,0.038615,0.03427695238095238,0.03622280827106272,0.03655334273591255,-0.015925,-0.012826142857142857,-0.012571742286842345,-0.012670180382026684,1.003854,1.0072863809523807,1.006305394555165,1.0062476886673362,0.563877,0.5992722380952381,0.6132890653771604,0.6148661235466855,0.685441,0.7675061428571429,0.7436038409532719,0.7418392623746441,-0.287381,-0.2556780952380952,-0.25981475633789936,-0.261293460621261
419,0.036092,0.03378366666666667,0.03599419447730612,0.03647966127116119,-0.01029,-0.012658142857142857,-0.012519315361019747,-0.012650300224024868,1.006578,1.008233857142857,1.006511303019594,1.0062824263085697,0.611222,0.6007099047619048,0.6134325490566443,0.6146772150297929,0.672158,0.7718471904761904,0.7440873073063012,0.7421354973013239,-0.196662,-0.2527607142857142,-0.25818685137151764,-0.2608840888376455
420,0.039962,0.034074571428571426,0.03610773659838009,0.036430651094976466,-0.011272,-0.012653238095238096,-0.01250858793247854,-0.01263162616208568,1.001718,1.0081635714285715,1.0064793910194645,1.0063083812287177,0.70094,0.601477761904762,0.6119644143752893,0.6143197371646191,0.852939,0.7682646666666667,0.7431066256120152,0.7422634672185898,-0.287185,-0.2542381428571428,-0.25910336327678446,-0.2606494346728066
421,0.03137,0.034256809523809516,0.03618986199069972,0.03639892123867056,-0.012755,-0.012784142857142855,-0.012547043222917196,-0.01262048029020826,1.002467,1.0080579523809523,1.0064621345813247,1.0063286419950819,0.701454,0.6014532857142857,0.6126336214107144,0.6140975501568339,0.8536,0.7602360952380952,0.7414579791560965,0.7421573244570401,-0.272212,-0.2527700952380952,-0.25836491198494316,-0.2603483929091802
422,0.042628,0.03433528571428571,0.03620843111342551,0.036373819503607116,-0.011762,-0.012844952380952379,-0.012566742152859387,-0.012613398975705478,0.998318,1.0075391904761906,1.006343687009247,1.0063306245438315,0.502638,0.6057826666666666,0.6150103869425076,0.6142178387393558,0.731022,0.7594670952380951,0.7420236692500708,0.742139712113141,-0.241481,-0.2607484761904762,-0.2623594398666751,-0.260613397553711
