cycle,position,ax_raw_g,ay_raw_g,az_raw_g
1,+X,0.991455,0.026611,-0.040039
1,+X,0.992676,0.02002,-0.041504
1,+X,0.985596,0.019531,-0.04541
1,+X,0.983887,0.025391,-0.047363
1,+X,0.98584,0.028564,-0.044434
1,+X,0.994385,0.024658,-0.043701
1,+X,0.99292,0.023682,-0.046143
1,+X,0.989502,0.02002,-0.042969
1,+X,0.982422,0.027344,-0.037109
1,+X,0.987793,0.02417,-0.040771
1,+X,0.991211,0.024902,-0.040771
1,+X,0.992432,0.019775,-0.039551
1,+X,0.987793,0.021973,-0.045898
1,+X,0.989258,0.0271,-0.03833
1,+X,0.993164,0.030518,-0.044434
1,+X,0.988281,0.022949,-0.042236
1,+X,0.98584,0.020264,-0.039307
1,+X,0.984131,0.026611,-0.039062
1,+X,0.981934,0.028564,-0.037842
1,+X,0.988281,0.027832,-0.040039
1,+X,0.983154,0.02417,-0.039795
1,+X,0.979492,0.022217,-0.039307
1,+X,0.986328,0.025146,-0.038818
1,+X,0.980469,0.026367,-0.036133
1,+X,0.982178,0.022705,-0.0354
1,+X,0.981201,0.021729,-0.041504
1,+X,0.987793,0.021973,-0.040283
1,+X,0.990234,0.027344,-0.048096
1,+X,0.992432,0.030518,-0.04834
1,+X,0.985107,0.024414,-0.039307
1,+X,0.986572,0.019775,-0.037598
1,+X,0.991943,0.025391,-0.037842
1,+X,0.992676,0.027832,-0.042969
1,+X,0.989746,0.026855,-0.036133
1,+X,0.984619,0.023193,-0.04126
1,+X,0.984375,0.020752,-0.037109
1,+X,0.991943,0.027832,-0.046143
1,+X,0.98877,0.029541,-0.038818
1,+X,0.985596,0.018555,-0.039062
1,+X,0.987549,0.023193,-0.037354
1,+X,0.983887,0.028809,-0.040283
1,+X,0.987061,0.030029,-0.036621
1,+X,0.98999,0.022705,-0.042725
1,+X,0.987305,0.020996,-0.04126
1,+X,0.990234,0.020752,-0.047852
1,+X,0.993408,0.026123,-0.037354
1,+X,0.992676,0.029297,-0.040283
1,+X,0.991455,0.02417,-0.03833
1,+X,0.988525,0.019775,-0.038818
1,+X,0.992188,0.025391,-0.043945
1,+X,0.988525,0.026855,-0.042725
1,+X,0.988281,0.025879,-0.040771
1,-X,-1.00708,-0.03125,-0.05127
1,-X,-1.007568,-0.034424,-0.049561
1,-X,-1.010986,-0.033936,-0.050293
1,-X,-1.011475,-0.0354,-0.053223
1,-X,-1.006348,-0.027344,-0.052246
1,-X,-1.011475,-0.035645,-0.04541
1,-X,-1.015869,-0.032227,-0.043213
1,-X,-1.012695,-0.033936,-0.051514
1,-X,-1.013184,-0.031006,-0.053711
1,-X,-1.012939,-0.02832,-0.052246
1,-X,-1.009766,-0.03418,-0.052734
1,-X,-1.014404,-0.032715,-0.054443
1,-X,-1.006104,-0.032715,-0.046631
1,-X,-1.008545,-0.031494,-0.047852
1,-X,-1.011719,-0.032715,-0.053711
1,-X,-1.007324,-0.033447,-0.050781
1,-X,-1.013428,-0.034424,-0.04541
1,-X,-1.011963,-0.033203,-0.053223
1,-X,-1.00708,-0.028564,-0.049561
1,-X,-1.008057,-0.031006,-0.05127
1,-X,-1.004395,-0.035645,-0.056641
1,-X,-1.014404,-0.032471,-0.046387
1,-X,-1.007812,-0.029541,-0.050293
1,-X,-1.011719,-0.032959,-0.05542
1,-X,-1.007324,-0.030762,-0.048096
1,-X,-1.016357,-0.033691,-0.047607
1,-X,-1.010498,-0.034668,-0.056396
1,-X,-1.008301,-0.030762,-0.047607
1,-X,-1.013428,-0.033447,-0.044678
1,-X,-1.012695,-0.03125,-0.052246
1,-X,-1.010254,-0.030029,-0.04541
1,-X,-1.014893,-0.032715,-0.046387
1,-X,-1.008057,-0.031494,-0.049072
1,-X,-1.010742,-0.032959,-0.047852
1,-X,-1.006836,-0.033936,-0.051758
1,-X,-1.004395,-0.031494,-0.051025
1,-X,-1.013672,-0.02832,-0.051514
1,-X,-1.01416,-0.034668,-0.046631
1,-X,-1.012695,-0.031738,-0.05249
1,-X,-1.013916,-0.035889,-0.049316
1,-X,-1.008789,-0.033447,-0.054199
1,-X,-1.016357,-0.028564,-0.047852
1,-X,-1.012207,-0.034668,-0.050781
1,-X,-1.008789,-0.0354,-0.054688
1,-X,-1.012451,-0.031738,-0.047607
1,-X,-1.014648,-0.031738,-0.050293
1,-X,-1.013184,-0.030762,-0.049072
